date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-03-06,Parramatta,20.6,28.3,20.4,50.563423,7.699999999999999,3,0,1,1
2020-03-07,Parramatta,18.5,24.4,0.0,67.84709,5.899999999999999,3,0,0,0
2020-03-08,Parramatta,15.8,22.0,10.4,67.3446,6.199999999999999,3,0,0,0
2020-03-09,Parramatta,16.3,23.0,4.0,64.55453,6.699999999999999,3,0,0,0
2020-03-10,Parramatta,13.8,23.5,2.6,55.55683,9.7,3,0,0,0
2020-03-11,Parramatta,13.0,24.8,0.0,60.571045,11.8,3,0,0,0
2020-03-12,Parramatta,14.0,25.0,0.4,65.6107,11.0,3,0,0,0
2020-03-13,Parramatta,12.0,27.0,0.0,61.682877,15.0,3,0,1,0
2020-03-14,Parramatta,14.0,16.5,1.4,67.31625,2.5,3,0,0,0
2020-03-15,Parramatta,10.4,20.5,12.0,69.005554,10.1,3,0,0,0
2020-03-16,Parramatta,14.0,22.4,5.8,68.442795,8.399999999999999,3,0,0,0
2020-03-17,Parramatta,14.0,22.7,2.6,50.26533,8.7,3,0,0,0
2020-03-18,Parramatta,11.2,27.5,0.0,55.870712,16.3,3,0,1,0
2020-03-19,Parramatta,14.0,32.7,0.0,52.102707,18.700000000000003,3,0,1,0
2020-03-20,Parramatta,17.0,34.8,0.0,64.11375,17.799999999999997,3,0,1,0
2020-03-21,Parramatta,15.2,25.2,0.0,75.15228,10.0,3,0,0,0
2020-03-22,Parramatta,16.2,29.8,0.0,77.08949,13.600000000000001,3,0,1,0
2020-03-23,Parramatta,17.3,22.5,0.0,71.60035,5.199999999999999,3,0,0,0
2020-03-24,Parramatta,13.5,22.0,2.0,73.63535,8.5,3,0,0,0
2020-03-25,Parramatta,15.0,25.8,0.0,68.156975,10.8,3,0,1,0
2020-03-26,Parramatta,15.7,21.3,12.0,64.7941,5.600000000000001,3,0,0,0
2020-03-27,Parramatta,13.8,22.2,5.0,62.468563,8.399999999999999,3,0,0,0
2020-03-28,Parramatta,12.3,23.8,0.0,59.62567,11.5,3,0,0,0
2020-03-29,Parramatta,16.2,25.2,3.2,55.0079,9.0,3,0,0,0
2020-03-30,Parramatta,17.2,25.2,2.2,70.92904,8.0,3,0,0,0
2020-03-31,Parramatta,14.8,26.8,0.0,69.702255,12.0,3,0,1,0
2020-04-01,Parramatta,16.7,24.0,0.2,78.2715,7.300000000000001,4,0,0,0
2020-04-02,Parramatta,16.0,24.3,13.0,69.99287,8.3,4,0,0,0
2020-04-03,Parramatta,15.5,26.0,5.0,71.50952,10.5,4,0,1,0
2020-04-04,Parramatta,19.0,25.7,7.4,83.577995,6.699999999999999,4,0,1,1
2020-04-05,Parramatta,12.8,24.2,0.0,80.17713,11.399999999999999,4,0,0,0
2020-04-06,Parramatta,13.0,24.0,0.0,86.677414,11.0,4,0,0,0
2020-04-07,Parramatta,14.8,20.8,0.0,66.13846,6.0,4,0,0,0
2020-04-08,Parramatta,12.8,18.8,0.0,64.33151,6.0,4,0,0,0
2020-04-09,Parramatta,14.5,22.2,0.4,74.65614,7.699999999999999,4,0,0,0
2020-04-10,Parramatta,15.5,22.5,1.0,61.648632,7.0,4,0,0,0
2020-04-11,Parramatta,13.2,24.8,4.0,72.57469,11.600000000000001,4,0,0,0
2020-04-12,Parramatta,7.5,21.8,0.0,69.47848,14.3,4,0,0,0
