date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-08-17 00:00:00,,7.5,20,0,,,,,,
2020-08-18 00:00:00,,9.1,20.5,0,,,,,,
2020-08-19 00:00:00,,7.7,21.4,0,,,,,,
2020-08-20 00:00:00,,9,18,0,,,,,,
2020-08-21 00:00:00,,8.7,18.5,0,,,,,,
2020-08-22 00:00:00,,7.5,15,0,,,,,,
2020-08-23 00:00:00,,7.2,16.7,0,,,,,,
2020-08-24 00:00:00,,3.8,18.3,0,,,,,,
2020-08-25 00:00:00,,1.7,16.5,0,,,,,,
2020-08-26 00:00:00,,3.7,19.2,0,,,,,,
2020-08-27 00:00:00,,3.2,21.6,0,,,,,,
2020-08-28 00:00:00,,8.3,19.2,0,,,,,,
2020-08-29 00:00:00,,4,22.8,0,,,,,,
2020-08-30 00:00:00,,5.3,25.5,0,,,,,,
2020-08-31 00:00:00,,13.5,23,0,,,,,,
2020-09-01 00:00:00,,10,19,0,,,,,,
2020-09-02 00:00:00,,5.5,24.2,0,,,,,,
2020-09-03 00:00:00,,14.8,29.8,0,,,,,,
2020-09-04 00:00:00,,15.5,21,0,,,,,,
2020-09-05 00:00:00,,11,22.5,7,,,,,,
2020-09-06 00:00:00,,7.2,19.3,0,,,,,,
2020-09-07 00:00:00,,7.2,22.5,0,,,,,,
2020-09-08 00:00:00,,7.8,25.6,0,,,,,,
2020-09-09 00:00:00,,13.2,16.5,1.6,,,,,,
2020-09-10 00:00:00,,9,18.4,8,,,,,,
2020-09-11 00:00:00,,8.6,19.8,0.6,,,,,,
2020-09-12 00:00:00,,7.6,23.8,0,,,,,,
2020-09-13 00:00:00,,8,24.8,0,,,,,,
2020-09-14 00:00:00,,8,22,0.2,,,,,,
2020-09-15 00:00:00,,11.3,24.2,0,,,,,,
2020-09-16 00:00:00,,9.5,28,0,,,,,,
2020-09-17 00:00:00,,11.6,30.8,0,,,,,,
2020-09-18 00:00:00,,14.8,17.4,0,,,,,,
2020-09-19 00:00:00,,14.5,23,1.6,,,,,,
2020-09-20 00:00:00,,10,24,4,,,,,,
2020-09-21 00:00:00,,12.6,29.7,6.2,,,,,,
2020-09-22 00:00:00,,18.4,24.2,0,,,,,,
2020-09-23 00:00:00,,11,23.5,0,,,,,,
2020-09-24 00:00:00,,9,21.4,0,,,,,,
2020-09-25 00:00:00,,6.7,23.3,0,,,,,,
2020-09-26 00:00:00,,7.8,17.6,0.4,,,,,,
2020-09-27 00:00:00,,7,18.5,0,,,,,,
2020-09-28 00:00:00,,7.5,20.5,0,,,,,,
2020-09-29 00:00:00,,8,19.6,0,,,,,,
2020-09-30 00:00:00,,8,21.2,0,,,,,,
2020-10-01 00:00:00,,13.5,25.7,1,,,,,,
2020-10-02 00:00:00,,8.2,28.7,0,,,,,,
2020-10-03 00:00:00,,9.3,30,0,,,,,,
2020-10-04 00:00:00,,12.6,32.2,0,,,,,,
2020-10-05 00:00:00,,13,33.3,0,,,,,,
2020-10-06 00:00:00,,16.3,20.3,0,,,,,,
2020-10-07 00:00:00,,15.3,21.5,0,,,,,,
2020-10-08 00:00:00,,14.3,29.4,0.6,,,,,,
2020-10-09 00:00:00,,10.8,23,0,,,,,,
2020-10-10 00:00:00,,9.7,26.8,0,,,,,,
2020-10-11 00:00:00,,9.5,28,0,,,,,,
2020-10-12 00:00:00,,15.8,25.7,0,,,,,,
2020-10-13 00:00:00,,12,29.8,0,,,,,,
2020-10-14 00:00:00,,15.3,22.8,0,,,,,,
2020-10-15 00:00:00,,12.6,30.3,0,,,,,,
2020-10-16 00:00:00,,16.7,20.2,0,,,,,,
2020-10-17 00:00:00,,14.5,30,0,,,,,,
2020-10-18 00:00:00,,16.3,25.3,2.4,,,,,,
2020-10-19 00:00:00,,14.5,21.5,4,,,,,,
2020-10-20 00:00:00,,15.2,22.2,0,,,,,,
2020-10-21 00:00:00,,10.8,25,0,,,,,,
2020-10-22 00:00:00,,12.8,25.8,0,,,,,,
2020-10-23 00:00:00,,13.8,29.4,0,,,,,,
2020-10-24 00:00:00,,17,24.6,6.6,,,,,,
2020-10-25 00:00:00,,12.5,15.7,20,,,,,,
2020-10-26 00:00:00,,12,14.9,26,,,,,,
2020-10-27 00:00:00,,11.5,20.3,13.4,,,,,,
2020-10-28 00:00:00,,12.3,20.8,0.2,,,,,,
2020-10-29 00:00:00,,13.6,22.4,12,,,,,,
2020-10-30 00:00:00,,9.4,22.7,0.8,,,,,,
2020-10-31 00:00:00,,12.7,25.2,2.8,,,,,,
2020-11-01 00:00:00,,12.2,19.7,11.2,,,,,,
2020-11-02 00:00:00,,12.8,21.8,4,,,,,,
2020-11-03 00:00:00,,10.2,23.4,0,,,,,,
2020-11-04 00:00:00,,10.2,28.8,0,,,,,,
2020-11-05 00:00:00,,14.3,16.2,3.6,,,,,,
2020-11-06 00:00:00,,12.3,20.5,17.6,,,,,,
2020-11-07 00:00:00,,9.5,20.6,0,,,,,,
2020-11-08 00:00:00,,13,21.3,0,,,,,,
2020-11-09 00:00:00,,12.6,21.8,0,,,,,,
2020-11-10 00:00:00,,9,23.7,0,,,,,,
2020-11-11 00:00:00,,11.2,27.7,0,,,,,,
2020-11-12 00:00:00,,14.6,31.3,0,,,,,,
2020-11-13 00:00:00,,17.8,28,1.4,,,,,,
2020-11-14 00:00:00,,13.3,27.2,0.4,,,,,,
2020-11-15 00:00:00,,13,31.5,0,,,,,,
2020-11-16 00:00:00,,16,38.3,0,,,,,,
2020-11-17 00:00:00,,16.6,23.6,0,,,,,,
2020-11-18 00:00:00,,15.8,24.2,0.4,,,,,,
2020-11-19 00:00:00,,12,26.8,0,,,,,,
2020-11-20 00:00:00,,15.8,37,0,,,,,,
2020-11-21 00:00:00,,16.8,25.3,0.6,,,,,,
2020-11-22 00:00:00,,16,29.7,1.4,,,,,,
2020-11-23 00:00:00,,20.3,25.3,3.4,,,,,,
2020-11-24 00:00:00,,14.5,23.8,1.6,,,,,,
2020-11-25 00:00:00,,16.3,24.9,1,,,,,,
2020-11-26 00:00:00,,16.6,34.3,0,,,,,,
2020-11-27 00:00:00,,17.5,31.7,0,,,,,,
2020-11-28 00:00:00,,18.2,40.6,0,,,,,,
2020-11-29 00:00:00,,26.5,40.5,0,,,,,,
2020-11-30 00:00:00,,18,23.5,0,,,,,,
2020-12-01 00:00:00,,15,33.6,0,,,,,,
2020-12-02 00:00:00,,16.7,23,11.8,,,,,,
2020-12-03 00:00:00,,16.6,25,0.2,,,,,,
2020-12-04 00:00:00,,17.1,34.5,0,,,,,,
2020-12-05 00:00:00,,16.8,25.5,0,,,,,,
2020-12-06 00:00:00,,19,29.8,7.2,,,,,,
2020-12-07 00:00:00,,15.4,29.7,0,,,,,,
2020-12-08 00:00:00,,14.8,24,0,,,,,,
2020-12-09 00:00:00,,15.2,27.2,0,,,,,,
2020-12-10 00:00:00,,13.6,28.2,0,,,,,,
2020-12-11 00:00:00,,15.5,22.5,0,,,,,,
2020-12-12 00:00:00,,15.8,24.2,0,,,,,,
2020-12-13 00:00:00,,12.3,23.6,1.6,,,,,,
2020-12-14 00:00:00,,16.6,24.5,5,,,,,,
2020-12-15 00:00:00,,18,25,6.6,,,,,,
2020-12-16 00:00:00,,20,29.5,11,,,,,,
2020-12-17 00:00:00,,19.9,33.3,2.4,,,,,,
2020-12-18 00:00:00,,20,31.2,0.6,,,,,,
2020-12-19 00:00:00,,18.5,19.9,1.6,,,,,,
2020-12-20 00:00:00,,17.2,23.8,4.8,,,,,,
2020-12-21 00:00:00,,16.8,24,0.4,,,,,,
2020-12-22 00:00:00,,17,27.7,24.4,,,,,,
2020-12-23 00:00:00,,11.5,26,0,,,,,,
2020-12-24 00:00:00,,15.8,28.5,0,,,,,,
2020-12-25 00:00:00,,17.3,21,0,,,,,,
2020-12-26 00:00:00,,15.8,24.4,1.8,,,,,,
2020-12-27 00:00:00,,15.5,31.8,7.2,,,,,,
2020-12-28 00:00:00,,17.6,30.7,0,,,,,,
2020-12-29 00:00:00,,15.5,19.7,12,,,,,,
2020-12-30 00:00:00,,16,22.5,11,,,,,,
2020-12-31 00:00:00,,16.2,24.3,1.6,,,,,,
