date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-02-02,Parramatta,42.03012,28.089508,13.940611999999998,2020-02-02 18:00:00,2020-02-03 05:00:00,28.089508,24.441437,11.0,11.0,0.331642818181818,1,0,Low risk,44.66135504166667,3.0070899612499997,998.5986125,0.0,2,1
2020-02-03,Parramatta,33.368713,22.2789,11.089813,2020-02-03 18:00:00,2020-02-03 18:00:00,22.873993,22.873993,0.0,11.0,0.0,1,1,Extreme risk,86.862348375,2.9815871166666668,999.3518224999999,15.0589941437,2,1
2020-02-04,Parramatta,33.807922,17.702423,16.105499,2020-02-04 18:00:00,2020-02-04 18:00:00,17.71585,17.71585,0.0,11.0,0.0,1,1,Extreme risk,51.24418020833334,4.9915827041666665,1006.2781841666666,0.2145767213,2,1
2020-02-05,Parramatta,24.866669,16.151886,8.714783,2020-02-05 18:00:00,2020-02-05 18:00:00,16.577057,16.577057,0.0,11.0,0.0,0,0,Not hot day,62.85666233333333,2.5759701666666666,1013.3462062499999,0.403881067,2,1
2020-02-06,Parramatta,25.630463,20.30777,5.3226929999999975,2020-02-06 18:00:00,2020-02-06 18:00:00,20.402588,20.402588,0.0,11.0,0.0,0,0,Not hot day,71.62285258333334,2.90091645,1012.5652633333334,1.30414961876,2,1
2020-02-07,Parramatta,23.268158,19.97342,3.294737999999999,2020-02-07 18:00:00,2020-02-07 19:00:00,20.120667,19.97342,1.0,11.0,0.14724700000000013,0,0,Not hot day,86.981185375,3.0831304250000002,1013.51698125,22.344112439,2,1
2020-02-08,Parramatta,21.884491,20.247162,1.6373290000000011,2020-02-08 18:00:00,2020-02-08 18:00:00,20.828766,20.828766,0.0,11.0,0.0,0,0,Not hot day,89.84469083333333,4.484261695833333,1011.6485475,31.02016449,2,1
2020-02-09,Parramatta,22.570099,20.39148,2.1786189999999976,2020-02-09 18:00:00,2020-02-09 20:00:00,20.629272,20.39148,2.0,11.0,0.11889599999999945,0,0,Not hot day,89.11270624999999,7.0952110333333325,1008.3962529166666,87.95070783,2,1
2020-02-10,Parramatta,25.487335,21.079132,4.408203,2020-02-10 18:00:00,2020-02-10 19:00:00,21.53363,21.465424,1.0,11.0,0.06820599999999999,0,0,Not hot day,92.44886741666666,5.9805625708333325,1001.49693875,109.46178454116,2,1
2020-02-11,Parramatta,27.781708,20.638214,7.143493999999997,2020-02-11 18:00:00,2020-02-11 18:00:00,20.874542,20.874542,0.0,11.0,0.0,1,1,Extreme risk,84.73983333333334,1.8384778416666665,1001.08486375,4.0884017693,2,1
2020-02-12,Parramatta,29.378174,22.196228,7.181946,2020-02-12 18:00:00,2020-02-12 18:00:00,22.25705,22.25705,0.0,11.0,0.0,1,1,Extreme risk,82.72030283333334,2.3246705137499997,1001.0726404166667,1.341342932,2,1
2020-02-13,Parramatta,26.003937,22.094269,3.909668,2020-02-13 18:00:00,2020-02-13 18:00:00,22.428497,22.428497,0.0,11.0,0.0,0,0,Not hot day,89.92555933333334,2.4392335458333334,1003.3471616666667,9.058475473,2,1
2020-02-14,Parramatta,25.482422,20.369995,5.112427,2020-02-14 18:00:00,2020-02-14 18:00:00,20.43863,20.43863,0.0,11.0,0.0,0,0,Not hot day,85.266361125,2.894192641666667,1003.2507491666667,2.2926330553,2,1
2020-02-15,Parramatta,26.446991,17.038483,9.408508000000001,2020-02-15 18:00:00,2020-02-15 18:00:00,17.639832,17.639832,0.0,11.0,0.0,1,1,Extreme risk,77.55989595833334,2.0609395175,998.7596716666667,0.3032684316,2,1
2020-02-16,Parramatta,26.418732,20.39505,6.023681999999997,2020-02-16 18:00:00,2020-02-16 18:00:00,20.39505,20.39505,0.0,11.0,0.0,1,1,Extreme risk,76.55733879166667,1.8224620458333334,1003.1504170833333,0.5731582630000001,2,1
2020-02-17,Parramatta,25.592072,20.6362,4.955872000000003,2020-02-17 18:00:00,2020-02-17 18:00:00,20.68927,20.68927,0.0,11.0,0.0,0,0,Not hot day,82.67239379166666,1.7636110525,1007.33887125,1.82104111306,2,1
2020-02-18,Parramatta,28.745575,19.67923,9.066344999999998,2020-02-18 18:00:00,2020-02-18 18:00:00,19.866882,19.866882,0.0,11.0,0.0,1,1,Extreme risk,87.44292020833335,1.3494889191666666,1003.7798925000001,2.3870468134,2,1
2020-02-19,Parramatta,31.27356,20.278656,10.994903999999998,2020-02-19 18:00:00,2020-02-19 18:00:00,20.278656,20.278656,0.0,11.0,0.0,1,1,Extreme risk,60.19965091666666,3.1814497999999998,995.8149570833334,0.58221817936,2,1
2020-02-20,Parramatta,27.84726,15.867523,11.979736999999998,2020-02-20 18:00:00,2020-02-20 18:00:00,15.867523,15.867523,0.0,11.0,0.0,1,1,Extreme risk,59.49662179166666,2.837218216666667,999.8699529166666,0.6980895968,2,1
2020-02-21,Parramatta,23.838043,18.592834,5.245208999999999,2020-02-21 18:00:00,2020-02-21 18:00:00,18.592834,18.592834,0.0,11.0,0.0,0,0,Not hot day,68.99367779166667,2.05863499,1006.6227629166666,0.5221366878,2,1
2020-02-22,Parramatta,24.517609,18.462189,6.055420000000002,2020-02-22 18:00:00,2020-02-22 18:00:00,18.806488,18.806488,0.0,11.0,0.0,0,0,Not hot day,75.34094579166667,2.810948983333333,1012.7365133333333,5.280494695,2,1
2020-02-23,Parramatta,23.53357,19.057404,4.476166000000003,2020-02-23 18:00:00,2020-02-23 18:00:00,19.143799,19.143799,0.0,11.0,0.0,0,0,Not hot day,81.01669820833332,1.6127848808333332,1016.421545,6.029605861,2,1
2020-02-24,Parramatta,26.005585,17.74762,8.257964999999999,2020-02-24 18:00:00,2020-02-24 18:00:00,17.74762,17.74762,0.0,11.0,0.0,0,0,Not hot day,74.9298335,1.8754940291666669,1014.5194925000001,0.22602081586,2,1
2020-02-25,Parramatta,27.28592,18.958954,8.326966000000002,2020-02-25 18:00:00,2020-02-25 18:00:00,18.958954,18.958954,0.0,11.0,0.0,1,1,Extreme risk,76.823277375,1.9270379295833333,1010.5245287500001,0.029563903859999997,2,1
2020-02-26,Parramatta,31.747711,20.894928,10.852782999999999,2020-02-26 18:00:00,2020-02-26 18:00:00,20.949799,20.949799,0.0,11.0,0.0,1,1,Extreme risk,68.35273620833333,3.1396714708333335,1002.5444358333334,0.012397766,2,1
2020-02-27,Parramatta,31.047272,18.877716,12.169556,2020-02-27 18:00:00,2020-02-27 18:00:00,18.877716,18.877716,0.0,11.0,0.0,1,1,Extreme risk,65.21829016666668,3.4264372958333333,1001.2387062500001,1.6274452256,2,1
